order_id,customer_id,order_date,order_status
1,1,2025-02-01,Delivered
2,2,2025-02-02,Delivered
3,3,2025-02-03,Delivered
4,4,2025-02-04,Cancelled
5,5,2025-02-05,Delivered
6,6,2025-02-06,Pending
7,7,2025-02-07,Delivered
8,8,2025-02-08,Delivered
9,9,2025-02-09,Delivered
10,10,2025-02-10,Cancelled
11,11,2025-02-11,Delivered
12,12,2025-02-12,Delivered
13,13,2025-02-13,Pending
14,14,2025-02-14,Delivered
15,15,2025-02-15,Delivered
16,16,2025-02-16,Delivered
17,17,2025-02-17,Cancelled
18,18,2025-02-18,Delivered
19,19,2025-02-19,Delivered
20,20,2025-02-20,Delivered
