payment_id,order_id,payment_mode,amount,payment_date
1,1,UPI,2497.00,2025-02-01
2,2,"Credit Card",1098.00,2025-02-02
3,3,UPI,1499.00,2025-02-03
4,5,"Debit Card",897.00,2025-02-05
5,7,UPI,999.00,2025-02-07
6,8,"Credit Card",3198.00,2025-02-08
7,9,UPI,747.00,2025-02-09
8,11,UPI,2099.00,2025-02-11
9,12,"Debit Card",699.00,2025-02-12
10,14,UPI,899.00,2025-02-14
11,15,"Credit Card",2199.00,2025-02-15
12,16,UPI,798.00,2025-02-16
13,18,"Debit Card",599.00,2025-02-18
14,19,UPI,1999.00,2025-02-19
15,20,"Credit Card",998.00,2025-02-20
